YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1989,56,12.800000000000001,68.099999999999994,42.600000000000001,379.30000000000001,414.89999999999998,380.10000000000002,413.19999999999999,215.90000000000001,291.80000000000001,255,4
1990,13.4,0.20000000000000001,24.600000000000001,87.5,424.60000000000002,291,213.19999999999999,293.30000000000001,310.39999999999998,133.59999999999999,291.10000000000002,100.3
1991,14.1,3.7999999999999998,28,132.90000000000001,191.30000000000001,165.69999999999999,547.20000000000005,486.5,489.89999999999998,287.60000000000002,130.09999999999999,58.5
1992,75.900000000000006,10.9,0,5.0999999999999996,241.69999999999999,392,348.19999999999999,372.30000000000001,323.69999999999999,257.30000000000001,64.299999999999997,7.2000000000000002
1993,14.9,0,129.90000000000001,43.700000000000003,181.40000000000001,257.10000000000002,391.69999999999999,226.69999999999999,437,299.30000000000001,189,66.700000000000003
1994,7.2000000000000002,35.5,129.40000000000001,154.59999999999999,403.19999999999999,386.30000000000001,569.70000000000005,460.5,775.10000000000002,137.5,180.30000000000001,23.800000000000001
1995,51.799999999999997,12.5,12.1,21.100000000000001,314.80000000000001,450.39999999999998,501.39999999999998,555.79999999999995,426.39999999999998,294.69999999999999,452.89999999999998,21.600000000000001
1996,52.200000000000003,4.7999999999999998,3.3999999999999999,122.7,298,559.20000000000005,335.5,328,541.60000000000002,318.5,254.19999999999999,178.80000000000001
1997,9.5,0,0.20000000000000001,15.6,281.10000000000002,199.5,918.5,430.60000000000002,440.19999999999999,128.69999999999999,292.80000000000001,38.399999999999999
1998,0.90000000000000002,0,0,0,348.89999999999998,600,364.5,258.89999999999998,337.80000000000001,618.60000000000002,227.80000000000001,89
1999,46.799999999999997,44.600000000000001,14.199999999999999,270.60000000000002,257.39999999999998,295,408.5,329.19999999999999,325.30000000000001,437.5,124.90000000000001,145.69999999999999
2000,53,59,171.30000000000001,218.09999999999999,422.80000000000001,357,176.30000000000001,460.80000000000001,250.09999999999999,321.19999999999999,158.30000000000001,115.2
2001,89,15.699999999999999,143.30000000000001,30.100000000000001,705.29999999999995,370.69999999999999,341.30000000000001,469,334.39999999999998,267.60000000000002,222.59999999999999,91.799999999999997
2002,10.6,0,11.5,100.2,366.69999999999999,358.30000000000001,317.39999999999998,429.80000000000001,420,169,306.69999999999999,129.90000000000001
2003,44.299999999999997,7.9000000000000004,149.19999999999999,19.399999999999999,296.30000000000001,159.90000000000001,494.89999999999998,379.39999999999998,371.89999999999998,310.39999999999998,74.099999999999994,48
2004,54.5,35.899999999999999,36.5,41.600000000000001,505.10000000000002,423.89999999999998,378.89999999999998,308.69999999999999,280.69999999999999,223.90000000000001,169.90000000000001,0.40000000000000002
2005,0,0,20.300000000000001,51.100000000000001,305.30000000000001,452.39999999999998,429.30000000000001,311.10000000000002,507.5,293.5,300.10000000000002,283.89999999999998
2006,16.300000000000001,14.4,48.899999999999999,163.69999999999999,321.39999999999998,366,182.69999999999999,219.59999999999999,546.5,374.69999999999999,76.099999999999994,74.400000000000006
