,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1974,1976-JAN-20.90,1976-FEB-9.70,1976-MAR-0.60,1976-APR-161.60,1976-MAY-551.40,1976-JUN-441.40,1976-JUL-382.10,1976-AUG-487.70,1976-SEP-387.00,1976-OCT-166.80,1976-NOV-307.20,1976-DEC-359.60
1975,1977-JAN-79.70,1977-FEB-43.20,1977-MAR-6.10,1977-APR-6.90,1977-MAY-275.30,1977-JUN-339.30,1977-JUL-341.10,1977-AUG-345.50,1977-SEP-467.10,1977-OCT-263.60,1977-NOV-153.30,1977-DEC-67.10
1976,1978-JAN-109.60,1978-FEB-29.30,1978-MAR-18.90,1978-APR-63.40,1978-MAY-343.60,1978-JUN-462.20,1978-JUL-656.60,1978-AUG-346.30,1978-SEP-310.80,1978-OCT-243.70,1978-NOV-83.40,1978-DEC-44.60
1977,1979-JAN-35.50,1979-FEB-9.40,1979-MAR-3.90,1979-APR-64.80,1979-MAY-146.30,1979-JUN-282.80,1979-JUL-455.90,1979-AUG-173.60,1979-SEP-330.20,1979-OCT-163.50,1979-NOV-169.80,1979-DEC-13.60
1978,1980-JAN-5.50,1980-FEB-0.80,1980-MAR-9.20,1980-APR-38.80,1980-MAY-728.40,1980-JUN-604.20,1980-JUL-575.70,1980-AUG-494.40,1980-SEP-271.90,1980-OCT-252.00,1980-NOV-143.70,1980-DEC-500.70
1979,1981-JAN-11.10,1981-FEB-27.80,1981-MAR-1.70,1981-APR-94.10,1981-MAY-270.80,1981-JUN-600.60,1981-JUL-344.10,1981-AUG-510.70,1981-SEP-452.60,1981-OCT-242.10,1981-NOV-348.40,1981-DEC-170.70
1980,1982-JAN-8.80,1982-FEB-2.80,1982-MAR-6.60,1982-APR-97.50,1982-MAY-229.20,1982-JUN-448.70,1982-JUL-410.50,1982-AUG-347.60,1982-SEP-369.00,1982-OCT-164.50,1982-NOV-238.80,1982-DEC-60.50
1981,1983-JAN-22.10,1983-FEB-0.00,1983-MAR-3.10,1983-APR-9.10,1983-MAY-240.80,1983-JUN-424.30,1983-JUL-468.90,1983-AUG-493.80,1983-SEP-505.50,1983-OCT-275.80,1983-NOV-261.00,1983-DEC-88.10
1982,1984-JAN-69.40,1984-FEB-173.80,1984-MAR-26.30,1984-APR-156.60,1984-MAY-162.30,1984-JUN-424.90,1984-JUL-446.40,1984-AUG-125.80,1984-SEP-283.60,1984-OCT-347.10,1984-NOV-158.90,1984-DEC-445.20
1983,1985-JAN-12.00,1985-FEB-19.20,1985-MAR-24.10,1985-APR-55.00,1985-MAY-278.10,1985-JUN-588.40,1985-JUL-230.90,1985-AUG-375.20,1985-SEP-362.50,1985-OCT-358.90,1985-NOV-232.10,1985-DEC-94.40
1984,1986-JAN-14.80,1986-FEB-0.60,1986-MAR-1.50,1986-APR-8.20,1986-MAY-302.60,1986-JUN-312.20,1986-JUL-308.50,1986-AUG-444.00,1986-SEP-408.90,1986-OCT-176.10,1986-NOV-163.50,1986-DEC-47.00
1985,1987-JAN-72.40,1987-FEB-35.20,1987-MAR-20.40,1987-APR-17.70,1987-MAY-162.90,1987-JUN-343.70,1987-JUL-45.30,1987-AUG-666.50,1987-SEP-378.90,1987-OCT-373.40,1987-NOV-313.40,1987-DEC-334.10
